BusinessName,LicenseNumber,LicenseType,Address,City,State,Zip,Phone,LicenseEffective,LicenseExpires,BusinessType,Specialty1,Specialty2,Principal,UBI
A PLUS HEATING & A/C LLC,PLUSHPH791QS,CONSTRUCTION CONTRACTOR,2224 LANCASTER WAY,FERNDALE,WA,98248,5642094966,10/21/2021,10/21/2027,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"ANTONOV, VLADISLAV Y",604811805
A R HEATING & COOLING INC,ARHEAHC769KC,CONSTRUCTION CONTRACTOR,PO Box 263,SOUTH BEND,WA,98586,3609990928,02/27/2025,02/27/2027,Corporation,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"PING, JEFFREY ALLEN",604567190
A T S AUTOMATION INC,ATSAUI*000DA,ELECTRICAL CONTRACTOR,450 SHATTUCK AVE SOUTH,RENTON,WA,98057,4252519680,04/26/2000,04/26/2028,Corporation,HVAC/RFRG,,"EASTON, THOMAS",600647391
A T S INLAND NW LLC,TSINLSI928DD,ELECTRICAL CONTRACTOR,450 Shattuck Ave S,RENTON,WA,98057,4252519680,03/04/2008,08/31/2026,Limited Liability Company,LIMITED ENERGY,HVAC/RFRG,"KISSINGER, WILLIAM",602410090
GREENWOOD HTNG & HOME SERVICES,GREENHH740DD,ELECTRICAL CONTRACTOR,14027 Interurban Ave S,SEATTLE,WA,98168,2067841818,04/03/2026,04/03/2028,Corporation,HVAC/RFRG-RESTRICTED,,"PORTER, KELLEY L",602259014
GROOME INDUST SERV GROUP LLC,GROOMIS808DR,CONSTRUCTION CONTRACTOR,305 Palmer Rd,Denville,NJ,07834,5515026357,03/27/2020,04/15/2028,Limited Liability Company,BOILER/STEAM FIT/PROC PIPING,,"BAUSE, JEFFREY R",604519650
A-1 HEATING INC,1HEATHI869RJ,ELECTRICAL CONTRACTOR,206 W 1st Street Ste B,DEER PARK,WA,99006,5092769955,12/11/2014,12/11/2026,Corporation,HVAC/RFRG,,"Rohraugh, Flint",602976882
A-ABSOLUTE CMFRT HTG/COOL INC,AABSOCH927CO,ELECTRICAL CONTRACTOR,15886 PARK PLACE CT,OREGON CITY,OR,97045,5035134795,03/25/2009,03/25/2027,Corporation,HVAC/RFRG,,"HART, ANDREW C",602084530
A1 LEAK REPAIR LLC,A1LEALR811B5,CONSTRUCTION CONTRACTOR,12305 NE 24TH ST,VANCOUVER,WA,98684,1360213634,01/25/2019,03/25/2028,Limited Liability Company,BOILER/STEAM FIT/PROC PIPING,,"VARGO, JEFFREY DANIEL",604363862
AAA HVAC LLC,AAAHVHL916ON,CONSTRUCTION CONTRACTOR,808 191 PL SW,LYNNWOOD,WA,98036,2063550442,09/15/2009,01/07/2028,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"VISHNIAKOV, EVGENY",602942842
AARDEN AIR LLC,AARDEAL902BJ,ELECTRICAL CONTRACTOR,PO BOX 3028,LYNNWOOD,WA,980463028,3606684387,01/11/2010,05/29/2028,Limited Liability Company,HVAC/RFRG,,"ESCOBAR, MARIO",602219376
AARDEN AIR SERVICE LLC,AARDEAS928KW,CONSTRUCTION CONTRACTOR,6400 56TH PL NE,MARYSVILLE,WA,98270,8665599174,05/16/2008,04/28/2027,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"CLINAGE, DANIEL EUGENE",602822688
ABC-HVAC,ABCHV**852CR,CONSTRUCTION CONTRACTOR,4207 S ASOTIN ST,TACOMA,WA,98412,2532170634,02/19/2015,06/02/2027,Individual,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"GAGNON, THOMAS JAMES",603478481
GUARDIAN PLBG & HTG INC,GUARDPH005DC,ELECTRICAL CONTRACTOR,929 16TH AVE,LEWISTON,ID,83501,2087463087,03/03/2000,05/07/2028,Corporation,HVAC/RFRG,,"SCHARNHORST, WILLIAM S",600370089
GUARDIAN SECURITY SYSTEMS INC,GUARDSS233K5,ELECTRICAL CONTRACTOR,1743 1ST AVE S,SEATTLE,WA,981341403,2064675298,05/25/1977,09/30/2026,Corporation,LIMITED ENERGY,HVAC/RFRG,"CLOSE, FRANK A",600189667
ABLE AIR LLC,ABLEAAL946MC,ELECTRICAL CONTRACTOR,PO BOX 1386,ENUMCLAW,WA,98022,3608022253,07/03/2006,07/16/2028,Corporation,HVAC/RFRG,,"TRUSSELL, RUSSELL A",602619429
ABOVE THE BEST INC,ABOVEBI925KK,ELECTRICAL CONTRACTOR,4020 S 56TH STREET,TACOMA,WA,98409,2535356000,05/12/2008,05/12/2028,Corporation,HVAC/RFRG,,"SANTANA-PLAISANT, ANNETTE",602805704
ABSOLUTE AIR INC,ABSOLAI990KB,CONSTRUCTION CONTRACTOR,2820 E HWY 101,PORT ANGELES,WA,98362,3604528444,05/02/2001,05/31/2027,Corporation,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"PIZZUTO, GLEN J",602115912
ABSOLUTE COMFORT TECH LLC,ABSOLCT894PU,ELECTRICAL CONTRACTOR,106 W Mead,YAKIMA,WA,98902,5093882997,10/31/2011,10/31/2027,Limited Liability Company,HVAC/RFRG,,"JOHNSON, JOSH E",603152163
ABSOLUTE GAS SERVICES,ABSOLGS002BU,CONSTRUCTION CONTRACTOR,P O BOX 12513,MILL CREEK,WA,98082,4257433747,01/31/2000,03/08/2027,Corporation,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"GREINKE, JEFFREY LEWIS",601914845
Absolute Heating & Cooling Inc,ABSOLHC858MO,ELECTRICAL CONTRACTOR,38215 42nd Ave S,AUBURN,WA,98001,2537401621,07/20/2015,08/09/2028,Corporation,HVAC/RFRG,,"POOLE, JAY L",603439143
Absolute Heating & Cooling Inc,ABSOLHC867PZ,CONSTRUCTION CONTRACTOR,38215 42ND AVE S,AUBURN,WA,98001,2537401621,10/09/2014,10/20/2026,Corporation,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"Poole, Carol",603439143
ABSOLUTE HEATING/CLG SLTNS LLC,ABSOLHS885DG,CONSTRUCTION CONTRACTOR,614 NE 105TH STREET,VANCOUVER,WA,98685,3605215355,03/07/2012,03/12/2028,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"RAMIREZ, JOSE MARTIN",603187335
ABSOLUTE HEATING/CLG SLTNS LLC,ABSOLHS885UG,ELECTRICAL CONTRACTOR,614 NE 105TH STREET,VANCOUVER,WA,98685,3605215355,03/07/2012,03/07/2028,Limited Liability Company,HVAC/RFRG,,"RAMIREZ, JOSE M",603187335
AC FURNACE GUYS LLC,ACFURFG741K6,CONSTRUCTION CONTRACTOR,2917 E DIVISION ST,MOUNT VERNON,WA,98274,3605036806,05/26/2026,05/26/2028,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"ESPINOZA, OSCAR",606226307
AC NW HEATING & COOLING INC,ACNWHNH801QP,CONSTRUCTION CONTRACTOR,PO BOX 1443,WOODLAND,WA,98674,3605605575,11/17/2020,11/17/2026,Corporation,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"YATES, ANDREW CHARLES",604548194
AC NW HEATING & COOLING INC,ACNWHNH804RN,ELECTRICAL CONTRACTOR,PO BOX 1443,WOODLAND,WA,98674,3605605575,12/15/2020,12/15/2026,Corporation,HVAC/RFRG,,"YATES, ANDREW C",604548194
ACCENT HEATING & COOLING LLC,ACCENHC006DA,ELECTRICAL CONTRACTOR,PO BOX 95,BRUSH PRAIRIE,WA,986060095,3608851940,03/01/2000,03/15/2028,Limited Liability Company,HVAC/RFRG,,"HUFNAGEL, TRACY A",601863232
ACCESS UNLMTD & SECURITY INC,ACCESUS974N7,ELECTRICAL CONTRACTOR,2615 N CINCINNATI STE 101,SPOKANE,WA,99207,5092410563,08/25/2003,08/26/2027,Corporation,LIMITED ENERGY,HVAC/RFRG,"ECKBERG, CHAD",602281798
ACCO ENGINEERED SYSTEMS INC,ACCOESI971KW,ELECTRICAL CONTRACTOR,5300 Denver Avenue South,SEATTLE,WA,98108,2067878500,05/16/2003,11/10/2026,Corporation,HVAC/RFRG,,CT CORPORATION,601003669
ACCU TEMP HEATING & A/C INC,ACCUTTH8904Q,ELECTRICAL CONTRACTOR,4001 SUMMITVIEW AVE STE 5-158,YAKIMA,WA,98908,5099499032,07/18/2011,07/25/2027,Corporation,HVAC/RFRG,,"Reavis, Scott A",603125083
ACCUFLO AIR SYSTEMS LLC,ACCUFAS841LB,ELECTRICAL CONTRACTOR,PO Box 542,VERADALE,WA,99037,5099211035,06/02/2016,06/02/2028,Limited Liability Company,HVAC/RFRG,,"Heath, Michael J",603584329
ACCUFLO AIR SYSTEMS LLC,ACCUFAS842LA,CONSTRUCTION CONTRACTOR,PO Box 542,VERADALE,WA,99037,5099211035,06/01/2016,06/01/2028,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"Heath, Michael John",603584329
ACCURATE BALANCING AGENCY INC,ACCURBA081L9,CONSTRUCTION CONTRACTOR,PO BOX 653,BEAVERTON,OR,97075,5032976594,06/29/1992,07/23/2028,Corporation,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"MAY, EDWARD M  JR",603331737
ACCURATE MECHANICAL LLC,ACCURML765JS,CONSTRUCTION CONTRACTOR,9632 16TH AVE SW,SEATTLE,WA,98106,2066444200,04/10/2024,05/19/2028,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"MALONEY, TERRANCE PATRICK",605401612
ACCURATE MECHANICAL LLC,ACCURML766DF,ELECTRICAL CONTRACTOR,9632 16TH AVE SW,SEATTLE,WA,98106,2066444200,03/06/2024,03/06/2028,Limited Liability Company,HVAC/RFRG,,"MALONEY, TERRANCE PATRICK",605401612
ACE HEATING & COOLING,ACEHEHC977P7,CONSTRUCTION CONTRACTOR,72801 W 207 PRNW,PROSSER,WA,99350,5099471821,10/27/2003,01/29/2027,Individual,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"STEINBOCK, BRYAN C",602105394
ACE HVAC SERVICE LLC,ACEHVHS797OT,CONSTRUCTION CONTRACTOR,2466 S SPENCER ST,SEATTLE,WA,98108,2063540772,09/02/2021,09/02/2027,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"MA, YIFEI",604786561
ACE SECURITY,ACESE**095K4,ELECTRICAL CONTRACTOR,PO BOX 1908,TUALATIN,OR,97062,5032249351,05/24/1991,08/30/2026,Individual,LIMITED ENERGY,HVAC/RFRG,"RECORE, MARK",601321408
H&A HEATING & AIR CNDTNING LLC,HHEATHA781CJ,CONSTRUCTION CONTRACTOR,3017 W Hartson Ave,SPOKANE,WA,99224,5094995740,02/17/2022,02/17/2028,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"Skaredin, Nikolai",604859605
H&C MECHANICAL INC,HCMECMI760BJ,CONSTRUCTION CONTRACTOR,804 W MEEKER ST,KENT,WA,98032,2534422306,01/11/2024,01/11/2028,Corporation,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"HOLTEN, JAMES MICHAEL",605378170
ACES HVAC LLC,ACESHHL779JO,ELECTRICAL CONTRACTOR,PO BOX 1677,HERMISTON,OR,97838,5417206789,04/20/2023,04/20/2027,Limited Liability Company,HVAC/RFRG,,"Garcia Quezada, Neo",604651210
ACME-REFRIGERATION AND HTG LLC,ACMERHL793DU,CONSTRUCTION CONTRACTOR,P.O. BOX 7322,BONNEY LAKE,WA,98391,2532025551,02/28/2022,02/28/2028,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"ALLEN, THOMAS WAYNE",604540741
ACNW LLC,ACNWLL*806P2,CONSTRUCTION CONTRACTOR,2507 N VISTA RD,SPOKANE,WA,99212,2086598215,10/28/2020,11/15/2026,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"KENERSON, CHAD RAYMOND",604655773
ACTION HEATING & AIR COND,ACTIOHA008DB,ELECTRICAL CONTRACTOR,8511 W SNOQUALMIE VALLEY RD NE,CARNATION,WA,98014,4254511464,03/02/2000,03/02/2028,Individual,HVAC/RFRG,,"CLARKE, ROBERT J",600492358
ACTION HEATING/AIR CONDTNG,ACTIOHA172MN,CONSTRUCTION CONTRACTOR,8511 W SNOQUALMIE VALLEY RD NE,CARNATION,WA,98014,4254511464,07/15/1983,07/12/2027,Individual,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"CLARKE, ROBERT J",600492358
ACTION PLUMBING & HTG INC,ACTIOPH005C8,ELECTRICAL CONTRACTOR,P.O. Box 484,Dryden,WA,98821,5095484458,02/28/2000,02/28/2028,Corporation,HVAC/RFRG,,"ACTON, MARK K",601941691
ADAPTIVE HVAC LLC,ADAPTHL757JG,ELECTRICAL CONTRACTOR,1520 112TH ST SW,EVERETT,WA,98204,4252632102,04/17/2025,04/17/2027,Limited Liability Company,HVAC/RFRG,,"ROBERTSON, COOPER J",605515644
ADMIRALTY HEATING & AIR,ADMIRHA8193P,ELECTRICAL CONTRACTOR,51 CANDACE RD,PORT HADLOCK,WA,98339,3604618669,06/17/2019,06/17/2027,Limited Liability Company,HVAC/RFRG,,"MILLET, ALAN E",604453680
ADMIRALTY HEATING & AIR,ADMIRHA819LP,CONSTRUCTION CONTRACTOR,51 CANDACE RD,PORT HADLOCK,WA,98339,3604618669,06/17/2019,06/17/2027,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"MICKELSON, RYAN BRADLEY",604453680
ADON'S HEATING& MECHANICAL,ADONSHM771MG,CONSTRUCTION CONTRACTOR,910 S 48TH STREET,TACOMA,WA,98408,2533142636,08/02/2023,06/10/2028,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"CARRILLO, ADON",605232535
ADVANCED COMFORT SYSTEMS INC,ADVANCS900JE,CONSTRUCTION CONTRACTOR,6289 Mae Valley rd NE,MOSES LAKE,WA,98837,5097640341,06/28/2010,02/15/2028,Corporation,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"SUMNER, BRET BERNARD",602995076
ADVANCED ENERGY SAVERS INC,ADVANES100K9,CONSTRUCTION CONTRACTOR,11212 3RD AVE S,SEATTLE,WA,98168,2062417930,05/29/1990,05/21/2028,Corporation,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"COMSTOCK, DANIEL PHILIP",601181719
ADVANCED ENERGY SYSTEMS INC,ADVANES003C3,ELECTRICAL CONTRACTOR,PO Box 326,CHEHALIS,WA,98532,3607481817,02/23/2000,02/23/2028,Corporation,HVAC/RFRG,,"DILLON, STEPHEN C",601722770
HAAS HEATING LLC,HAASHHL945DN,CONSTRUCTION CONTRACTOR,29450 SE 371ST STREET,ENUMCLAW,WA,98022,2063715413,03/15/2006,03/22/2028,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"HAAS, SCOTT M",602591326
HAGEN INDUSTRIAL REFRIG LLC,HAGENIR897BM,CONSTRUCTION CONTRACTOR,PO BOX 1288,BUCKLEY,WA,98321,2067906111,01/14/2011,01/14/2027,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"HAGEN, KIMBERLY SUE",603073114
HAKIMI HVAC LLC,HAKIMHL765RO,CONSTRUCTION CONTRACTOR,17913 SE 259TH ST,COVINGTON,WA,98042,2064033269,12/23/2024,12/23/2026,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"HAKIMI, AHMAD SHAKIB",605568855
HALES HEATING & A/C LLC,HALESHA784CW,CONSTRUCTION CONTRACTOR,8005 195TH ST E,SPANAWAY,WA,98387,2533459659,02/16/2022,02/16/2028,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"HALE, GUY WAYNE",604870301
HALLMARK HEATING SERVICES INC,HALLMHS796LB,CONSTRUCTION CONTRACTOR,5353 Hallmark Lane,BELLINGHAM,WA,98226,3605990738,06/07/2021,06/12/2027,Corporation,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"Hallmark, Calvin Lee",604714392
HALO HEATING & AIR INC,HALOHHA921NO,CONSTRUCTION CONTRACTOR,3211 S HIGH DRIVE,SPOKANE,WA,99203,5094351170,08/20/2008,09/28/2026,Corporation,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"CAMPBELL, BRIAN ANDREW",602829126
"Advanced Mech Htg & Clg, LLC",ADVANMH761JT,ELECTRICAL CONTRACTOR,5431 Columbia Heights Road,LONGVIEW,WA,98632,3607037113,04/30/2024,04/30/2028,Limited Liability Company,HVAC/RFRG,,"Pazour, Joslyn M",605478462
"Advanced Mech Htg & Clg, LLC",ADVANMH767JR,CONSTRUCTION CONTRACTOR,5431 Columbia Heights Road,LONGVIEW,WA,98632,3607037113,04/19/2024,04/19/2028,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"Pazour, Joslyn Mary",605478462
ADVANCED MECHANICAL SYS INC,ADVANMS008C8,ELECTRICAL CONTRACTOR,6315 E. Sharp Ave.,SPOKANE VALLEY,WA,99212,5095340547,02/28/2000,10/16/2026,Corporation,HVAC/RFRG,,"Date, Greg",600551795
ADVANCED MECHANICAL SYS INC,ADVANMS164QL,CONSTRUCTION CONTRACTOR,6315 E. Sharp Ave.,SPOKANE VALLEY,WA,99212,5095340547,11/13/1984,01/20/2028,Corporation,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"DATE, GREG FRANK",600551795
ADVANTAGE HEAT COOL PLUMB INC,ADVANHC004DA,ELECTRICAL CONTRACTOR,13719 NE LAURIN RD,VANCOUVER,WA,98662,3606935220,03/01/2000,03/02/2028,Corporation,HVAC/RFRG,,"HART, VERONICA KAY",601918242
AEROHEAT LLC,AEROHL*743DO,CONSTRUCTION CONTRACTOR,15833 MILL CREEK BLVD,MILL CREEK,WA,98082,4255407407,03/30/2026,03/30/2028,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"HRISTOV, PAVLIN NIKOLOV",605895836
AEROSEAL LLC,AEROSL*833LG,CONSTRUCTION CONTRACTOR,225 Byers Rd,Miamisburg,OH,45342,9374289300,05/23/2017,03/09/2028,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"GUPTA, AMIT",603288913
HAMMERSTROM HTG & COOLING LLC,HAMMEHC742DK,CONSTRUCTION CONTRACTOR,PO BOX 1450,TOLEDO,WA,98591,3609479280,03/12/2026,03/12/2028,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"HAMMERSTROM, BRADEN ROBERT",606063130
AIR COMFORT INC,AIRCOI*990P9,CONSTRUCTION CONTRACTOR,16055 SW 74th Ave Suite B,PORTLAND,OR,97224,5036393535,10/29/2001,04/07/2028,Corporation,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"RAJPUT, J K",600615642
Air Commodities Inc,AIRCOCI748BL,ELECTRICAL CONTRACTOR,6100 6TH AVE S,SEATTLE,WA,98108,2067672600,01/13/2026,01/13/2028,Corporation,HVAC/RFRG,,"Glasch, Keith",600571725
AIR DESIGN HTNG & AIRCNDTNG,AIRDEDH8529D,ELECTRICAL CONTRACTOR,1807 E Francis Ave,SPOKANE,WA,99208,5094874328,12/04/2015,12/04/2027,Limited Liability Company,HVAC/RFRG,,"Lindeman, Aaron R",603543507
AIR DOCTOR HTNG CLNG SERV INC,AIRDODH881BO,CONSTRUCTION CONTRACTOR,13120 NE 39TH ST,VANCOUVER,WA,98682,3605538700,01/20/2012,11/14/2027,Corporation,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"BEREZHNOY, ANATOLY",603153545
AIR DUCTORS INC,AIRDUDI932N3,CONSTRUCTION CONTRACTOR,4228 81ST PL NE,MARYSVILLE,WA,98270,8009703828,08/23/2007,08/23/2027,Corporation,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"WATTERS, MIKE Adam",602715077
AIR EXCHANGE INC,AIREXEI9445P,ELECTRICAL CONTRACTOR,PO BOX 822558,VANCOUVER,WA,98682,3608522940,08/17/2006,08/28/2026,Corporation,HVAC/RFRG,,"ANDERSON, DAVID T",602640110
