BusinessName,LicenseNumber,Address,City,State,Zip,Phone,LicenseEffective,LicenseExpires,Specialty1,Specialty2,Principal,DaysAgo
A & P HVAC LLC,APHVAL*741K9,7680 CORVALLIS RD,INDEPENDENCE,OR,97351,9713883177,06/01/2026,06/01/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"VARGAS MACILLA, PEDRO",33
ICEBERG MECHANICAL SERVS LLC,ICEBEMS747LA,140 RAINTREE LOOP SE,RAINIER,WA,98576,3606880373,06/01/2026,06/01/2028,HVAC/RFRG,,"Bergendahl, Joseph",33
MOGOVOLT HEATING & COOLING,MOGOVHC742K8,23825 45TH AVE SE,BOTHELL,WA,98021,2069602397,05/28/2026,05/28/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"MOGOVAN, GAVRIL D",37
ALLIANCE AIR,ALLIAA*746K7,3915 N SCHREIBER WAY,COEUR D ALENE,ID,83815,2086640192,05/27/2026,05/27/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"TIBBETTS, JAMES MICHAEL",38
AC FURNACE GUYS LLC,ACFURFG741K6,2917 E DIVISION ST,MOUNT VERNON,WA,98274,3605036806,05/26/2026,05/26/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"ESPINOZA, OSCAR",39
ELITE HVAC & REFRIGERATION LLC,ELITEHR741K2,7137 MARTIN LUTHER KING JR WAY,SEATTLE,WA,98118,2062268509,05/22/2026,05/22/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"NGUYEN, DANNY",43
PACIFIC PEAK MECHANICAL,PACIFPM742JC,2312 NE 191ST AVE,VANCOUVER,WA,98684,3608333410,05/22/2026,05/22/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"TSARENKO, SAMUEL ALEXANDER",43
PACIFIC NORTHRIDGE MECH LLC,PACIFNM745KN,14016 SE 6TH ST,VANCOUVER,WA,98683,3605138262,05/15/2026,05/15/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"HALUAPO, JOSHUA JUDSON LEE",50
TORNADO AIR INC,TORNAAI740KN,138 E 232ND ST,CARSON,CA,90745,5622667961,05/15/2026,05/15/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"MARTINEZ, ALAN ANTONIO",50
SCOTTS HVAC DIAGNOSTIC,SCOTTHD743KJ,4506 147TH AVE NE,LAKE STEVENS,WA,98258,4253816581,05/14/2026,05/14/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"LANE, SCOTT",51
EVERS ELECTRIC LLC,EVERSEL741KH,317 Oxbow rd,RAYMOND,WA,98577,3602083973,05/13/2026,05/13/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"EVERS, AUGUSTUS JAMES",52
COOL FOX HEATING & AIR,COOLFFH745KK,28626 183RD CT SE,KENT,WA,98042,2064376560,05/12/2026,05/12/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"NISTRIAN, EZECHIEL",53
THE HVAC GUYS LLC,HVACGGL740KJ,PO BOX 1715,BATTLE GROUND,WA,98604,5202369718,05/11/2026,05/11/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"TAYLOR, VICTOR",54
OTTO PIPE CONSTRUCTION LLC,OTTOPPC742KD,38975 RIDGE DR,SCIO,OR,97374,5419902616,05/05/2026,05/05/2028,BOILER/STEAM FIT/PROC PIPING,,"OTTO, DAVIS PAUL",60
CALIFORNIA BOILER INC,CALIFBI746D4,1800 NEWPORT CIRCLE,SANTA ANA,CA,92705,7148910701,04/28/2026,04/28/2028,HVAC/RFRG,,"ANDERSON, GARY FRANKLIN",67
NGUYEN'S HEATING & COOLING LLC,NGUYEHC740K1,12409 58TH DR SE,SNOHOMISH,WA,98296,3603488056,04/27/2026,04/27/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"NGUYEN, TAN THANH",68
PLATINUM HEATING & COOLING LLC,PLATIHC749J7,17080 S HOLCOMB RD,OREGON CITY,OR,97045,5034534422,04/27/2026,04/27/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"CALLAN, DERICK LYNN",68
DKOV CONSTRUCTION SERVICE LLC,DKOVCCS745J4,2556 M PL NE,AUBURN,WA,98002,2068049200,04/24/2026,04/24/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"KOVAL, DANYIL",71
COMFORTPRO HEATING/COOLNG LLC,COMFOHL742JO,16024 NW BAUMAN ST,PORTLAND,OR,97229,3607629009,04/21/2026,04/21/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"EMINGTON, BRADLEY ROY",74
CENTRAL WASHINGTON HTG & AIR,CENTRWH742JN,500 B OHME GARDEN RD,WENATCHEE,WA,98801,5096633557,04/15/2026,04/15/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"STIDHAM, PAIGE MARIE",80
TOTAL COMF SL HTG CLG/PLB LLC,TOTALCS743CK,2904 Melrose St,WALLA WALLA,WA,99362,7087168806,04/10/2026,04/10/2028,HVAC/RFRG,,"Kalista, Amanda N",85
MILWAUKIE HEATING & COOLING CO,MILWAHC749JG,P O BOX 220216,MILWAUKIE,OR,97269,5035575562,04/07/2026,04/07/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"KLINK, JAMES ALLEN",88
MCDOWELL & SON INC,MCDOWSI741JC,1457 Barker Rd,HOOD RIVER,OR,97031,5413873373,04/06/2026,04/06/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"McDowell, Terrence Craig",89
